Title,director,duration,actor_1,actor_2,actor_3,gross,genres,plot_keywords,budget,year,keywords,combination
Ramanujan,Gnana Rajasekaran,153,Mani Bharathi,Michael Lieber,Kevin McGowan,0,Biography Drama History,ramanujan,0,2014,ramanujan,GnanaRajasekaran ManiBharathi MichaelLieber KevinMcGowan Biography Drama History ramanujan
Dwegons and Leprechauns,Tom Walsh,98,Joey D. Vieira,Maggie Wheeler,Jacqueline Lovell,0,Animation,dwegons,20000000,2014,dwegons,TomWalsh JoeyD.Vieira MaggieWheeler JacquelineLovell Animation dwegons
Hands of Stone,Jonathan Jakubowicz,105,Robert De Niro,Jurnee Smollett-Bell,Edgar Ramírez,0,Action Biography Drama Sport,boxer boxing three word title,20000000,2016,boxer boxing three word title,JonathanJakubowicz RobertDeNiro JurneeSmollett-Bell EdgarRamírez Action Biography Drama Sport boxer boxing three word title
Survivor,James McTeigue,96,Milla Jovovich,Roger Rees,Robert Forster,0,Action Crime Thriller,cigarette lighter death fire on the run terrorist,20000000,2015,cigarette lighter death fire run terrorist,JamesMcTeigue MillaJovovich RogerRees RobertForster Action Crime Thriller cigarette lighter death fire run terrorist
The Frozen Ground,Scott Walker,105,Nicolas Cage,Radha Mitchell,Jodi Lyn O'Keefe,5496951,Crime Drama Mystery Thriller,anchorage alaska based on true story pole dancer serial killer strip club,27220000,2013,anchorage alaska based true story pole dancer serial killer strip club,ScottWalker NicolasCage RadhaMitchell JodiLynO'Keefe Crime Drama Mystery Thriller anchorage alaska based true story pole dancer serial killer strip club
The Painted Veil,John Curran,125,Toby Jones,Sally Hawkins,Alan David,8047690,Drama Romance,china cholera epidemic love marriage,19400000,2006,china cholera epidemic love marriage,JohnCurran TobyJones SallyHawkins AlanDavid Drama Romance china cholera epidemic love marriage
The Baader Meinhof Complex,Uli Edel,184,Moritz Bleibtreu,Alexandra Maria Lara,Martina Gedeck,476270,Action Biography Crime Drama,bonn germany failed kidnapping handcuffs projectile terrorist,20000000,2008,bonn germany failed kidnapping handcuff projectile terrorist,UliEdel MoritzBleibtreu AlexandraMariaLara MartinaGedeck Action Biography Crime Drama bonn germany failed kidnapping handcuff projectile terrorist
Dances with Wolves,Kevin Costner,236,Mary McDonnell,Michael Spears,Maury Chaykin,184208848,Adventure Drama Western,friendship frontier honor outpost soldier,22000000,1990,friendship frontier honor outpost soldier,KevinCostner MaryMcDonnell MichaelSpears MauryChaykin Adventure Drama Western friendship frontier honor outpost soldier
Bad Teacher,Jake Kasdan,97,Justin Timberlake,John Michael Higgins,Phyllis Smith,100292856,Comedy,boob job breast enlargement breast surgery cheating on a test ejaculation,20000000,2011,boob job breast enlargement surgery cheating test ejaculation,JakeKasdan JustinTimberlake JohnMichaelHiggins PhyllisSmith Comedy boob job breast enlargement surgery cheating test ejaculation
Sea of Love,Harold Becker,113,Al Pacino,Michael O'Neill,Ellen Barkin,58571513,Crime Drama Mystery Thriller,detective love single suspect title from song,19000000,1989,detective love single suspect title song,HaroldBecker AlPacino MichaelO'Neill EllenBarkin Crime Drama Mystery Thriller detective love single suspect title song
A Cinderella Story,Mark Rosman,95,Dan Byrd,Lin Shaye,Julie Gonzalo,51431160,Comedy Family Romance,cinderella story correspondence evil step mother female protagonist teenage girl,20000000,2004,cinderella story correspondence evil step mother female protagonist teenage girl,MarkRosman DanByrd LinShaye JulieGonzalo Comedy Family Romance cinderella story correspondence evil step mother female protagonist teenage girl
Scream,Wes Craven,103,David Arquette,W. Earl Brown,Roger Jackson,103001286,Horror Mystery,mask mystery killer slasher teenage girl telephone,15000000,1996,mask mystery killer slasher teenage girl telephone,WesCraven DavidArquette W.EarlBrown RogerJackson Horror Mystery mask mystery killer slasher teenage girl telephone
Thir13en Ghosts,Steve Beck,91,Shannon Elizabeth,Embeth Davidtz,F. Murray Abraham,41867960,Horror,collector ghost ghost hunter glass house machine,20000000,2001,collector ghost hunter glass house machine,SteveBeck ShannonElizabeth EmbethDavidtz F.MurrayAbraham Horror collector ghost hunter glass house machine
The Shining,Stanley Kubrick,146,Scatman Crothers,Shelley Duvall,Joe Turkel,44017374,Drama Horror,breaking down a door haunted hotel identical twins labyrinth twin sisters,19000000,1980,breaking door haunted hotel identical twin labyrinth sister,StanleyKubrick ScatmanCrothers ShelleyDuvall JoeTurkel Drama Horror breaking door haunted hotel identical twin labyrinth sister
Back to the Future,Robert Zemeckis,116,Lea Thompson,Thomas F. Wilson,J.J. Cohen,210609762,Adventure Comedy Sci-Fi,clock tower delorean future time travel time travel comedy,19000000,1985,clock tower delorean future time travel comedy,RobertZemeckis LeaThompson ThomasF.Wilson J.J.Cohen Adventure Comedy Sci-Fi clock tower delorean future time travel comedy
House on Haunted Hill,William Malone,93,Jeffrey Combs,Peter Gallagher,Bridgette Wilson-Sampras,40846082,Horror Mystery Thriller,billionaire corpse eccentric haunted hospital haunted house,19000000,1999,billionaire corpse eccentric haunted hospital house,WilliamMalone JeffreyCombs PeterGallagher BridgetteWilson-Sampras Horror Mystery Thriller billionaire corpse eccentric haunted hospital house
I Can Do Bad All by Myself,Tyler Perry,113,Eric Mendenhall,Mary J. Blige,Hope Olaide Wilson,51697449,Comedy Drama,aunt immigrant looting love nightclub singer,13000000,2009,aunt immigrant looting love nightclub singer,TylerPerry EricMendenhall MaryJ.Blige HopeOlaideWilson Comedy Drama aunt immigrant looting love nightclub singer
Fight Valley,Rob Hawk,90,Kari J. Kramer,Erin O'Brien,Cabrina Collesides,0,Action Drama,,27000000,2016,,RobHawk KariJ.Kramer ErinO'Brien CabrinaCollesides Action Drama 
The Switch,Josh Gordon,101,Caroline Dhavernas,Scott Elrod,Kelli Barrett,27758465,Comedy Drama Romance,artificial insemination best friend new york city sperm sperm donor,19000000,2010,artificial insemination best friend new york city sperm donor,JoshGordon CarolineDhavernas ScottElrod KelliBarrett Comedy Drama Romance artificial insemination best friend new york city sperm donor
Just Married,Shawn Levy,95,Taran Killam,David Agranov,David Moscow,56127162,Comedy Romance,fall honeymoon love marriage newlywed,18000000,2003,fall honeymoon love marriage newlywed,ShawnLevy TaranKillam DavidAgranov DavidMoscow Comedy Romance fall honeymoon love marriage newlywed
The Devil's Double,Lee Tamahori,109,Mem Ferda,Dominic Cooper,Ludivine Sagnier,1357042,Biography Drama Thriller,betrayal debauchery lust palace saddam hussein,15000000,2011,betrayal debauchery lust palace saddam hussein,LeeTamahori MemFerda DominicCooper LudivineSagnier Biography Drama Thriller betrayal debauchery lust palace saddam hussein
"Gone, Baby, Gone",,43,Nicole 'Snooki' Polizzi,Jenni 'Jwoww' Farley,Paul 'Pauly D' DelVecchio,0,Comedy Drama Reality-TV Romance,lifestyle,0,0,lifestyle, Nicole'Snooki'Polizzi Jenni'Jwoww'Farley Paul'PaulyD'DelVecchio Comedy Drama Reality-TV Romance lifestyle
Thomas and the Magic Railroad,Britt Allcroft,85,Mara Wilson,Colm Feore,Peter Fonda,15911333,Adventure Comedy Drama Family Fantasy,locomotive magic mountain railroad steam locomotive,19000000,2000,locomotive magic mountain railroad steam,BrittAllcroft MaraWilson ColmFeore PeterFonda Adventure Comedy Drama Family Fantasy locomotive magic mountain railroad steam
The Crazies,Breck Eisner,101,Radha Mitchell,Glenn Morshower,John Aylward,39103378,Horror Thriller,deputy iowa rural setting sheriff survival,20000000,2010,deputy iowa rural setting sheriff survival,BreckEisner RadhaMitchell GlennMorshower JohnAylward Horror Thriller deputy iowa rural setting sheriff survival
Spirited Away,Hayao Miyazaki,125,Bunta Sugawara,Ryûnosuke Kamiki,Miyu Irino,10049886,Adventure Animation Family Fantasy,anime bathhouse pig spirit work,19000000,2001,anime bathhouse pig spirit work,HayaoMiyazaki BuntaSugawara RyûnosukeKamiki MiyuIrino Adventure Animation Family Fantasy anime bathhouse pig spirit work
Firestorm,Alan Yuen,118,Andy Lau,Michael Wong,Terence Yin,0,Action Crime Thriller,die hard scenario gunfight hong kong police police escort attacked shootout,19000000,2013,die hard scenario gunfight hong kong police escort attacked shootout,AlanYuen AndyLau MichaelWong TerenceYin Action Crime Thriller die hard scenario gunfight hong kong police escort attacked shootout
The Bounty,Roger Donaldson,132,Liam Neeson,Anthony Hopkins,Laurence Olivier,8600000,Action Adventure Drama History Romance,lieutenant lifeboat mutiny sailing ship ship,25000000,1984,lieutenant lifeboat mutiny sailing ship,RogerDonaldson LiamNeeson AnthonyHopkins LaurenceOlivier Action Adventure Drama History Romance lieutenant lifeboat mutiny sailing ship
The Book Thief,Brian Percival,131,Emily Watson,Sophie Nélisse,Roger Allam,21483154,Drama War,basement book girl library track,19000000,2013,basement book girl library track,BrianPercival EmilyWatson SophieNélisse RogerAllam Drama War basement book girl library track
Sex Drive,Sean Anders,129,Katrina Bowden,Michael Cudlitz,Alice Greczyn,8396942,Adventure Comedy Romance,amish friend friendship high school virgin,19000000,2008,amish friend friendship high school virgin,SeanAnders KatrinaBowden MichaelCudlitz AliceGreczyn Adventure Comedy Romance amish friend friendship high school virgin
Leap Year,Anand Tucker,100,Adam Scott,Kaitlin Olson,Dominique McElligott,12561,Comedy Romance,ireland irish journey tradition travel,19000000,2010,ireland irish journey tradition travel,AnandTucker AdamScott KaitlinOlson DominiqueMcElligott Comedy Romance ireland irish journey tradition travel
The Fall of the Roman Empire,Anthony Mann,172,James Mason,Mel Ferrer,Stephen Boyd,4750000,Drama History War,2nd century emperor european history loosely based on historical events roman empire,19000000,1964,2nd century emperor european history loosely based historical event roman empire,AnthonyMann JamesMason MelFerrer StephenBoyd Drama History War 2nd century emperor european history loosely based historical event roman empire
Take Me Home Tonight,Michael Dowse,97,Topher Grace,Michael Biehn,Dan Fogler,6923891,Comedy Drama Romance,friend night party sex scene sister,23000000,2011,friend night party sex scene sister,MichaelDowse TopherGrace MichaelBiehn DanFogler Comedy Drama Romance friend night party sex scene sister
Won't Back Down,Daniel Barnz,121,Holly Hunter,Rosie Perez,Dante Brown,5308553,Drama,children inner city parent school teacher,0,2012,child inner city parent school teacher,DanielBarnz HollyHunter RosiePerez DanteBrown Drama child inner city parent school teacher
The Nutcracker,Emile Ardolino,92,Darci Kistler,Kyra Nichols,Margaret Tracey,2119994,Family Fantasy Music,christmas lifting female in air lifting male in air lifting someone into the air little girl,19000000,1993,christmas lifting female air male someone little girl,EmileArdolino DarciKistler KyraNichols MargaretTracey Family Fantasy Music christmas lifting female air male someone little girl
Kansas City,Robert Altman,116,Steve Buscemi,Jennifer Jason Leigh,Miranda Richardson,1292527,Crime Drama Music Thriller,1930s election female frontal nudity kansas city politician,19000000,1996,1930s election female frontal nudity kansa city politician,RobertAltman SteveBuscemi JenniferJasonLeigh MirandaRichardson Crime Drama Music Thriller 1930s election female frontal nudity kansa city politician
Indignation,James Schamus,110,Logan Lerman,Sarah Gadon,Tracy Letts,560512,Drama,based on novel,0,2016,based novel,JamesSchamus LoganLerman SarahGadon TracyLetts Drama based novel
The Amityville Horror,Andrew Douglas,90,Jimmy Bennett,Chloë Grace Moretz,Ryan Reynolds,64255243,Drama Horror Mystery Thriller,ghost haunted house murder nightmare priest,19000000,2005,ghost haunted house murder nightmare priest,AndrewDouglas JimmyBennett ChloëGraceMoretz RyanReynolds Drama Horror Mystery Thriller ghost haunted house murder nightmare priest
Adaptation.,Spike Jonze,81,Nicolas Cage,Meryl Streep,Roger Willie,22245861,Comedy Drama,book orchid screenwriter thief twin,19000000,2002,book orchid screenwriter thief twin,SpikeJonze NicolasCage MerylStreep RogerWillie Comedy Drama book orchid screenwriter thief twin
Land of the Dead,George A. Romero,97,Tony Nappo,Shawn Roberts,Pedro Miguel Arce,20433940,Horror,apocalypse mercenary skyscraper urban setting zombie apocalypse,15000000,2005,apocalypse mercenary skyscraper urban setting zombie,GeorgeA.Romero TonyNappo ShawnRoberts PedroMiguelArce Horror apocalypse mercenary skyscraper urban setting zombie
Out of Inferno,Danny Pang,107,Louis Koo,Angelica Lee,Ching Wan Lau,0,Action,,0,2013,,DannyPang LouisKoo AngelicaLee ChingWanLau Action 
Fear and Loathing in Las Vegas,Terry Gilliam,118,Johnny Depp,Michael Jeter,Ellen Barkin,10562387,Adventure Comedy Drama,american dream convertible drugs journalist lawyer,18500000,1998,american dream convertible drug journalist lawyer,TerryGilliam JohnnyDepp MichaelJeter EllenBarkin Adventure Comedy Drama american dream convertible drug journalist lawyer
The Invention of Lying,Ricky Gervais,100,Jennifer Garner,Tina Fey,Martin Starr,18439082,Comedy Fantasy Romance,genetics heaven lie screenwriter truth,18500000,2009,genetics heaven lie screenwriter truth,RickyGervais JenniferGarner TinaFey MartinStarr Comedy Fantasy Romance genetics heaven lie screenwriter truth
Neighbors,Nicholas Stoller,97,Craig Roberts,Carla Gallo,Ike Barinholtz,150056505,Comedy,broken leg friendship jewish topless female nudity urination,18000000,2014,broken leg friendship jewish topless female nudity urination,NicholasStoller CraigRoberts CarlaGallo IkeBarinholtz Comedy broken leg friendship jewish topless female nudity urination
The Mask,Chuck Russell,114,Peter Greene,Amy Yasbeck,Reg E. Cathey,119938730,Action Comedy Crime Fantasy,bank bank clerk gangster loki mask,18000000,1994,bank clerk gangster loki mask,ChuckRussell PeterGreene AmyYasbeck RegE.Cathey Action Comedy Crime Fantasy bank clerk gangster loki mask
Big,Penny Marshall,130,Tom Hanks,Jon Lovitz,John Heard,114968774,Comedy Drama Family Fantasy Romance,friend job new york city toy wish,18000000,1988,friend job new york city toy wish,PennyMarshall TomHanks JonLovitz JohnHeard Comedy Drama Family Fantasy Romance friend job new york city toy wish
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Larry Charles,82,Luenell,Ken Davitian,Chester,128505958,Comedy,california city kazakhstan travel tv reporter,18000000,2006,california city kazakhstan travel tv reporter,LarryCharles Luenell KenDavitian Chester Comedy california city kazakhstan travel tv reporter
Legally Blonde,Robert Luketic,96,Linda Cardellini,Raquel Welch,Alanna Ubach,95001351,Comedy Romance,blonde harvard law law school sorority,18000000,2001,blonde harvard law school sorority,RobertLuketic LindaCardellini RaquelWelch AlannaUbach Comedy Romance blonde harvard law school sorority
Star Trek III: The Search for Spock,Leonard Nimoy,105,Leonard Nimoy,Nichelle Nichols,Walter Koenig,76400000,Action Adventure Sci-Fi,dying planet planet regaining one's memory sacrifice stabbed to death,17000000,1984,dying planet regaining one memory sacrifice stabbed death,LeonardNimoy LeonardNimoy NichelleNichols WalterKoenig Action Adventure Sci-Fi dying planet regaining one memory sacrifice stabbed death
The Exorcism of Emily Rose,Scott Derrickson,122,Tom Wilkinson,Colm Feore,JR Bourne,75072454,Drama Horror Thriller,death demonic possession exorcism lawyer priest,20000000,2005,death demonic possession exorcism lawyer priest,ScottDerrickson TomWilkinson ColmFeore JRBourne Drama Horror Thriller death demonic possession exorcism lawyer priest
Deuce Bigalow: Male Gigolo,Mike Mitchell,88,Amy Poehler,Eddie Griffin,Bree Turner,65535067,Comedy Romance,aquarium fish fish tank gigolo norwegian,17000000,1999,aquarium fish tank gigolo norwegian,MikeMitchell AmyPoehler EddieGriffin BreeTurner Comedy Romance aquarium fish tank gigolo norwegian
Left Behind,Vic Armstrong,110,Nicolas Cage,Lea Thompson,Quinton Aaron,13998282,Action Drama Fantasy Mystery Thriller,bible quote chaos faith riot shrine,16000000,2014,bible quote chaos faith riot shrine,VicArmstrong NicolasCage LeaThompson QuintonAaron Action Drama Fantasy Mystery Thriller bible quote chaos faith riot shrine
The Family Stone,Thomas Bezucha,103,Craig T. Nelson,Paul Schneider,Tyrone Giordano,6061759,Comedy Drama Romance,christmas cruelty ring secret tension,17000000,2005,christmas cruelty ring secret tension,ThomasBezucha CraigT.Nelson PaulSchneider TyroneGiordano Comedy Drama Romance christmas cruelty ring secret tension
Barbershop 2: Back in Business,Kevin Rodney Sullivan,106,Harry Lennix,Sean Patrick Thomas,Kenan Thompson,64955956,Comedy Drama,barbecue barbershop blaxploitation marriage politics,18000000,2004,barbecue barbershop blaxploitation marriage politics,KevinRodneySullivan HarryLennix SeanPatrickThomas KenanThompson Comedy Drama barbecue barbershop blaxploitation marriage politics
Bad Santa,Terry Zwigoff,98,Bernie Mac,Tony Cox,Alex Borstein,60057639,Comedy Crime Drama,bartender christmas christmas eve department store drink,18000000,2003,bartender christmas eve department store drink,TerryZwigoff BernieMac TonyCox AlexBorstein Comedy Crime Drama bartender christmas eve department store drink
Austin Powers: International Man of Mystery,Jay Roach,68,Will Ferrell,Charles Napier,Robert Wagner,53868030,Comedy Crime,cartoon on tv reference to frankenstein reference to jimi hendrix scene during end credits surrealism,17000000,1997,cartoon tv reference frankenstein jimi hendrix scene end credit surrealism,JayRoach WillFerrell CharlesNapier RobertWagner Comedy Crime cartoon tv reference frankenstein jimi hendrix scene end credit surrealism
My Big Fat Greek Wedding 2,Kirk Jones,94,Nia Vardalos,Louis Mandylor,Joey Fatone,59573085,Comedy Family Romance,family restaurant greek remarriage suburb wedding,18000000,2016,family restaurant greek remarriage suburb wedding,KirkJones NiaVardalos LouisMandylor JoeyFatone Comedy Family Romance family restaurant greek remarriage suburb wedding
Diary of a Wimpy Kid: Rodrick Rules,David Bowers,99,Zachary Gordon,Rachael Harris,Fran Kranz,52691009,Comedy Family,brother middle school no opening credits photograph school,21000000,2011,brother middle school opening credit photograph,DavidBowers ZacharyGordon RachaelHarris FranKranz Comedy Family brother middle school opening credit photograph
Predator,John McTiernan,107,Shane Black,Bill Duke,Carl Weathers,59735548,Action Horror Sci-Fi,box office hit commando death of friend jungle severed arm,15000000,1987,box office hit commando death friend jungle severed arm,JohnMcTiernan ShaneBlack BillDuke CarlWeathers Action Horror Sci-Fi box office hit commando death friend jungle severed arm
Amadeus,Milos Forman,180,Jeffrey Jones,F. Murray Abraham,Tom Hulce,51600000,Biography Drama History Music,1800s classical composer composer first person narration opera,18000000,1984,1800s classical composer first person narration opera,MilosForman JeffreyJones F.MurrayAbraham TomHulce Biography Drama History Music 1800s classical composer first person narration opera
Prom Night,Nelson McCormick,89,Ming-Na Wen,Scott Porter,Collins Pennie,43818159,Horror Mystery,friend hotel killer murder prom,20000000,2008,friend hotel killer murder prom,NelsonMcCormick Ming-NaWen ScottPorter CollinsPennie Horror Mystery friend hotel killer murder prom
Mean Girls,Mark Waters,97,Tina Fey,Amy Poehler,Neil Flynn,86049418,Comedy,bully clique high school high school girl secret,17000000,2004,bully clique high school girl secret,MarkWaters TinaFey AmyPoehler NeilFlynn Comedy bully clique high school girl secret
Under the Tuscan Sun,Audrey Wells,113,Raoul Bova,Lindsay Duncan,Mario Monicelli,43601508,Comedy Drama Romance,author book vacation villa writer,18000000,2003,author book vacation villa writer,AudreyWells RaoulBova LindsayDuncan MarioMonicelli Comedy Drama Romance author book vacation villa writer
Gosford Park,Robert Altman,131,Kristin Scott Thomas,Bob Balaban,Tom Hollander,41300105,Drama Mystery,country house murder producer servant shooting party,19800000,2001,country house murder producer servant shooting party,RobertAltman KristinScottThomas BobBalaban TomHollander Drama Mystery country house murder producer servant shooting party
The O.C.,,44,Peter Gallagher,Melinda Clarke,Tate Donovan,0,Comedy Drama Romance,california lawyer love orange county california wealth,0,0,california lawyer love orange county wealth, PeterGallagher MelindaClarke TateDonovan Comedy Drama Romance california lawyer love orange county wealth
Peggy Sue Got Married,Francis Ford Coppola,103,Nicolas Cage,Kathleen Turner,Joan Allen,41382841,Comedy Drama Fantasy Romance,alternate history alternate timeline divorce high school reunion,18000000,1986,alternate history timeline divorce high school reunion,FrancisFordCoppola NicolasCage KathleenTurner JoanAllen Comedy Drama Fantasy Romance alternate history timeline divorce high school reunion
Birdman or (The Unexpected Virtue of Ignorance),Alejandro G. Iñárritu,119,Emma Stone,Naomi Watts,Merritt Wever,42335698,Comedy Drama Romance,actor artist broadway play replacement stage,18000000,2014,actor artist broadway play replacement stage,AlejandroG.Iñárritu EmmaStone NaomiWatts MerrittWever Comedy Drama Romance actor artist broadway play replacement stage
Blue Jasmine,Woody Allen,98,Sally Hawkins,Charlie Tahan,Andrew Dice Clay,33404871,Drama,congenital liar mental breakdown self deception snob talking to oneself,18000000,2013,congenital liar mental breakdown self deception snob talking oneself,WoodyAllen SallyHawkins CharlieTahan AndrewDiceClay Drama congenital liar mental breakdown self deception snob talking oneself
United 93,Paul Greengrass,111,Christian Clemenson,David Alan Basche,Susan Blommaert,31471430,Drama History Thriller,flight passenger plane september 11 2001 terrorist,15000000,2006,flight passenger plane september 11 2001 terrorist,PaulGreengrass ChristianClemenson DavidAlanBasche SusanBlommaert Drama History Thriller flight passenger plane september 11 2001 terrorist
Honey,Bille Woodruff,94,Christian Monzon,Mekhi Phifer,Romeo Miller,30222640,Drama Music Romance,choreographer dance dancer dancing hip hop,25000000,2003,choreographer dance dancer dancing hip hop,BilleWoodruff ChristianMonzon MekhiPhifer RomeoMiller Drama Music Romance choreographer dance dancer dancing hip hop
Spy Hard,Rick Friedberg,81,Hulk Hogan,Barry Bostwick,Nicollette Sheridan,26906039,Action Comedy,1990s dentist hit with a door martial arts museum,18000000,1996,1990s dentist hit door martial art museum,RickFriedberg HulkHogan BarryBostwick NicolletteSheridan Action Comedy 1990s dentist hit door martial art museum
The Fog,John Carpenter,89,Jamie Lee Curtis,Hal Holbrook,Janet Leigh,21378000,Fantasy Horror,california fog leper lighthouse ship,1000000,1980,california fog leper lighthouse ship,JohnCarpenter JamieLeeCurtis HalHolbrook JanetLeigh Fantasy Horror california fog leper lighthouse ship
Soul Surfer,Sean McNamara,106,Dennis Quaid,Chris Brochu,Craig T. Nelson,43853424,Biography Drama Family Sport,christian christian film shark surfer surfing,18000000,2011,christian film shark surfer surfing,SeanMcNamara DennisQuaid ChrisBrochu CraigT.Nelson Biography Drama Family Sport christian film shark surfer surfing
Catch-22,Mike Nichols,122,Bob Newhart,Bob Balaban,Martin Balsam,24911670,Comedy Drama War,catch 22 friend insanity kneed in the groin military,18000000,1970,catch 22 friend insanity kneed groin military,MikeNichols BobNewhart BobBalaban MartinBalsam Comedy Drama War catch 22 friend insanity kneed groin military
Observe and Report,Jody Hill,86,Collette Wolfe,Celia Weston,Dan Bakkedahl,23993605,Comedy Crime Drama,male pubic hair mall police detective pubic hair security guard,18000000,2009,male pubic hair mall police detective security guard,JodyHill ColletteWolfe CeliaWeston DanBakkedahl Comedy Crime Drama male pubic hair mall police detective security guard
Conan the Destroyer,Richard Fleischer,103,Mako,Olivia d'Abo,Grace Jones,26400000,Action Adventure Fantasy,gods princess queen rescue wizard,18000000,1984,god princess queen rescue wizard,RichardFleischer Mako Oliviad'Abo GraceJones Action Adventure Fantasy god princess queen rescue wizard
Raging Bull,Martin Scorsese,121,Robert De Niro,Cathy Moriarty,Frank Vincent,45250,Biography Drama Sport,boxing domestic violence hot temper jealousy rage,18000000,1980,boxing domestic violence hot temper jealousy rage,MartinScorsese RobertDeNiro CathyMoriarty FrankVincent Biography Drama Sport boxing domestic violence hot temper jealousy rage
Love Happens,Brandon Camp,109,Judy Greer,Sasha Alexander,Frances Conroy,22927390,Drama Romance,florist motivational speaker self help guru seminar widower,18000000,2009,florist motivational speaker self help guru seminar widower,BrandonCamp JudyGreer SashaAlexander FrancesConroy Drama Romance florist motivational speaker self help guru seminar widower
Young Sherlock Holmes,Barry Levinson,109,Nicholas Rowe,Roger Ashton-Griffiths,Freddie Jones,4250320,Adventure Fantasy Mystery Thriller,cult death delusion girl sherlock holmes,18000000,1985,cult death delusion girl sherlock holmes,BarryLevinson NicholasRowe RogerAshton-Griffiths FreddieJones Adventure Fantasy Mystery Thriller cult death delusion girl sherlock holmes
Fame,Kevin Tancharoen,123,Kelsey Grammer,Kay Panabaker,Megan Mullally,22452209,Comedy Drama Musical Romance,new york performing arts school student teacher,18000000,2009,new york performing art school student teacher,KevinTancharoen KelseyGrammer KayPanabaker MeganMullally Comedy Drama Musical Romance new york performing art school student teacher
127 Hours,Danny Boyle,94,James Franco,Treat Williams,Kate Burton,18329466,Adventure Biography Drama Thriller,alone aron ralston based on autobiography canyon survival,18000000,2010,alone aron ralston based autobiography canyon survival,DannyBoyle JamesFranco TreatWilliams KateBurton Adventure Biography Drama Thriller alone aron ralston based autobiography canyon survival
Small Time Crooks,Woody Allen,94,Woody Allen,Jon Lovitz,Michael Rapaport,17071230,Comedy Crime,apartment building crook new york city three word title written and directed by cast member,18000000,2000,apartment building crook new york city three word title written directed cast member,WoodyAllen WoodyAllen JonLovitz MichaelRapaport Comedy Crime apartment building crook new york city three word title written directed cast member
Center Stage,Nicholas Hytner,115,Amanda Schull,Susan May Pratt,Ethan Stiefel,17174870,Drama Music Romance,ballet dance dancer dancing love,18000000,2000,ballet dance dancer dancing love,NicholasHytner AmandaSchull SusanMayPratt EthanStiefel Drama Music Romance ballet dance dancer dancing love
Love the Coopers,Jessie Nelson,107,Olivia Wilde,Alex Borstein,Timothée Chalamet,26284475,Comedy,christmas family dinner husband wife conflict husband wife kiss large family,17000000,2015,christmas family dinner husband wife conflict kiss large,JessieNelson OliviaWilde AlexBorstein TimothéeChalamet Comedy christmas family dinner husband wife conflict kiss large
Catch That Kid,Bart Freundlich,91,Kristen Stewart,Corbin Bleu,Kevin G. Schmidt,16702864,Comedy Crime,caper computer genius dog heist security chief,18000000,2004,caper computer genius dog heist security chief,BartFreundlich KristenStewart CorbinBleu KevinG.Schmidt Comedy Crime caper computer genius dog heist security chief
Life as a House,Irwin Winkler,125,Ian Somerhalder,Hayden Christensen,Kristin Scott Thomas,15561627,Drama,cancer construction house house construction neighbor,18000000,2001,cancer construction house neighbor,IrwinWinkler IanSomerhalder HaydenChristensen KristinScottThomas Drama cancer construction house neighbor
Steve Jobs,Danny Boyle,122,Kate Winslet,Michael Fassbender,Michael Stuhlbarg,17750583,Biography Drama,apple computer box office flop computer dialogue driven father daughter relationship,30000000,2015,apple computer box office flop dialogue driven father daughter relationship,DannyBoyle KateWinslet MichaelFassbender MichaelStuhlbarg Biography Drama apple computer box office flop dialogue driven father daughter relationship
"I Love You, Beth Cooper",Chris Columbus,102,Alan Ruck,Marie Avgeropoulos,Shawn Roberts,14793904,Comedy Romance,cheerleader party popular girl speech valedictorian,18000000,2009,cheerleader party popular girl speech valedictorian,ChrisColumbus AlanRuck MarieAvgeropoulos ShawnRoberts Comedy Romance cheerleader party popular girl speech valedictorian
Youth in Revolt,Miguel Arteta,90,Steve Buscemi,Ari Graynor,Fred Willard,15281286,Comedy Drama Romance,alter ego boarding school love masturbation teen movie,18000000,2009,alter ego boarding school love masturbation teen movie,MiguelArteta SteveBuscemi AriGraynor FredWillard Comedy Drama Romance alter ego boarding school love masturbation teen movie
The Legend of the Lone Ranger,William A. Fraker,98,Jason Robards,Richard Farnsworth,Michael Horse,8000000,Action Adventure Western,ambush hero masked hero outlaw texas ranger,18000000,1981,ambush hero masked outlaw texas ranger,WilliamA.Fraker JasonRobards RichardFarnsworth MichaelHorse Action Adventure Western ambush hero masked outlaw texas ranger
The Tailor of Panama,John Boorman,109,Daniel Radcliffe,Jamie Lee Curtis,Mark Margolis,13491653,Drama Thriller,canal panama president spy tailor,18000000,2001,canal panama president spy tailor,JohnBoorman DanielRadcliffe JamieLeeCurtis MarkMargolis Drama Thriller canal panama president spy tailor
Blow Out,Brian De Palma,107,Nancy Allen,Dennis Franz,John McMartin,12000000,Mystery Thriller,conspiracy political conspiracy recording sound truth,18000000,1981,conspiracy political recording sound truth,BrianDePalma NancyAllen DennisFranz JohnMcMartin Mystery Thriller conspiracy political recording sound truth
Getaway,Courtney Solomon,90,Rebecca Budig,Paul Freeman,Bruce Payne,10494494,Action Crime Thriller,die hard scenario earth viewed from space race against time race car driver title at the end,18000000,2013,die hard scenario earth viewed space race time car driver title end,CourtneySolomon RebeccaBudig PaulFreeman BrucePayne Action Crime Thriller die hard scenario earth viewed space race time car driver title end
